"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"03-08 17:10:41.231","KSS","Blocktrade","27.05","18.26K","493.82K","NoMatch","Consumer Cyclical","18256"
"03-08 17:10:34.887","KSS","Blocktrade","27.05","21.94K","593.37K","NoMatch","Consumer Cyclical","21936"
"03-08 17:09:49.648","NVDA","Blocktrade","242.75","1.16K","280.62K","AtAsk","Technology","1156"
"03-08 17:08:50.630","GOGL","Blocktrade","10.13","181.05K","1.83M","AtAsk","Industrials","181049"
"03-08 17:07:39.432","ASAN","Blocktrade","20.5","22.87K","468.83K","AtAsk","N/A","22870"
"03-08 17:07:25.971","ASAN","Blocktrade","20.5","15.4K","315.7K","AtBid","N/A","15400"
"03-08 17:06:17.442","SIVB","Blocktrade","253","4.9K","1.24M","AtBid","Financial","4900"
"03-08 17:06:00.939","META","Blocktrade","184.94","5.0K","924.7K","AtAsk","Communication Services","5000"
"03-08 17:05:15.384","NVDA","Blocktrade","242.66","2.35K","569.52K","AtAsk","Technology","2347"
"03-08 17:05:04.081","HPE","Blocktrade","15.1","784.74K","11.85M","AtAsk","Technology","784744"
"03-08 17:05:04.080","HPE","Blocktrade","15.1","267.96K","4.05M","AtAsk","Technology","267959"
"03-08 17:05:04.072","DK","Blocktrade","24.54","37.46K","919.22K","AtAsk","Energy","37458"
"03-08 17:05:04.072","CMA","Blocktrade","67.3","16.01K","1.08M","AtBid","Financial","16008"
"03-08 17:05:04.071","JXN","Blocktrade","43.54","57.75K","2.51M","AtAsk","N/A","57754"
"03-08 17:05:04.071","INSW","Blocktrade","51.37","76.54K","3.93M","AtBid","Industrials","76538"
"03-08 17:05:04.071","CMCSA","Blocktrade","35.9","87.06K","3.13M","AtAsk","Communication Services","87064"
"03-08 17:05:04.070","JXN","Blocktrade","43.54","40.0K","1.74M","AtAsk","N/A","40003"
"03-08 17:05:04.070","CMCSA","Blocktrade","35.9","75.8K","2.72M","AtAsk","Communication Services","75796"
"03-08 17:05:03.359","AMD","Blocktrade","85.5302","4.0K","342.12K","AtBid","Technology","4000"
"03-08 17:04:52.460","SIVB","Blocktrade","254","5.1K","1.3M","AtAsk","Financial","5100"
"03-08 17:04:00.540","SIVB","Blocktrade","254","5.0K","1.27M","AtBid","Financial","5000"
"03-08 17:02:18.958","SIVB","Blocktrade","254","5.0K","1.27M","NoMatch","Financial","5000"
"03-08 17:01:05.452","SBNY","Blocktrade","99","2.89K","285.91K","AtBid","Financial","2888"
"03-08 17:00:57.738","TSLA","Blocktrade","181.75","1.44K","262.45K","AtBid","Consumer Cyclical","1444"
"03-08 17:00:57.737","TSLA","Blocktrade","181.75","1.44K","262.45K","NoMatch","Consumer Cyclical","1444"
"03-08 17:00:34.855","ESGU","Blocktrade","88.3","4.52K","398.85K","AtAsk","Financial","4517"
"03-08 17:00:32.711","ESGU","Blocktrade","88.3","4.9K","432.67K","AtAsk","Financial","4900"
"03-08 17:00:23.388","NVDA","Blocktrade","242.53","2.0K","485.06K","AtBid","Technology","2000"
"03-08 16:59:31.603","TROW","Blocktrade","112.65","8.44K","950.77K","NoMatch","Financial","8440"
"03-08 16:59:31.603","BBY","Blocktrade","81.15","18.93K","1.54M","AtBid","Consumer Cyclical","18933"
"03-08 16:59:31.602","BGFV","Blocktrade","8.815","28.86K","254.44K","AtBid","Consumer Cyclical","28864"
"03-08 16:59:31.601","JXN","Blocktrade","43.54","19.77K","860.74K","AtAsk","N/A","19769"
"03-08 16:56:38.282","SIVB","Blocktrade","255","4.33K","1.11M","AtBid","Financial","4335"
"03-08 16:54:50.852","TQQQ","Blocktrade","23.05","17.87K","411.88K","AtBid","Financial","17869"
"03-08 16:53:35.624","AKAM","Blocktrade","74.41","17.41K","1.3M","AtAsk","Technology","17405"
"03-08 16:53:35.618","TXN","Blocktrade","176.22","28.41K","5.01M","AtBid","Technology","28411"
"03-08 16:53:35.606","HUBS","Blocktrade","403.44","3.59K","1.45M","AtBid","Technology","3593"
"03-08 16:53:35.599","GEN","Blocktrade","18.35","92.91K","1.7M","AtBid","N/A","92914"
"03-08 16:53:35.594","ANET","Blocktrade","148.4","11.29K","1.68M","AtBid","Technology","11291"
"03-08 16:53:35.587","VRSK","Blocktrade","184.87","5.93K","1.1M","AtAsk","Industrials","5929"
"03-08 16:53:35.582","NWSA","Blocktrade","16.77","107.95K","1.81M","AtBid","Communication Services","107946"
"03-08 16:53:35.576","CI","Blocktrade","279.32","5.23K","1.46M","AtBid","Healthcare","5231"
"03-08 16:53:35.406","MRNA","Blocktrade","142.08","11.99K","1.7M","AtBid","Healthcare","11989"
"03-08 16:53:35.402","DOV","Blocktrade","152.47","13.74K","2.09M","AtAsk","Industrials","13740"
"03-08 16:53:35.397","DVN","Blocktrade","54.5","19.06K","1.04M","AtAsk","Energy","19060"
"03-08 16:53:35.392","PHM","Blocktrade","54.75","27.01K","1.48M","AtAsk","Consumer Cyclical","27010"
"03-08 16:53:35.391","DOW","Blocktrade","56.26","37.98K","2.14M","AtBid","Basic Materials","37984"
"03-08 16:53:35.382","ACGL","Blocktrade","70.29","36.7K","2.58M","AtAsk","Financial","36703"
"03-08 16:53:35.376","ILMN","Blocktrade","208.03","10.06K","2.09M","AtBid","Healthcare","10063"
"03-08 16:53:35.374","VCEL","Blocktrade","30.48","173.02K","5.27M","AtBid","Healthcare","173024"
"03-08 16:53:35.372","AIG","Blocktrade","57.35","25.36K","1.45M","AtBid","Financial","25364"
"03-08 16:53:35.369","ODFL","Blocktrade","350.44","5.57K","1.95M","AtBid","Industrials","5566"
"03-08 16:53:35.368","SPGI","Blocktrade","338.88","21.66K","7.34M","AtBid","Financial","21659"
"03-08 16:53:35.368","POST","Blocktrade","89.45","57.07K","5.1M","AtBid","Consumer Defensive","57070"
"03-08 16:53:35.364","OGS","Blocktrade","77.65","16.37K","1.27M","AtBid","Utilities","16366"
"03-08 16:53:35.362","AR","Blocktrade","25.14","100.46K","2.53M","AtAsk","Energy","100461"
"03-08 16:53:35.361","LEN","Blocktrade","99.08","97.43K","9.65M","AtBid","Consumer Cyclical","97426"
"03-08 16:53:35.358","STE","Blocktrade","180.29","10.28K","1.85M","AtAsk","Healthcare","10276"
