"Symb","Proportion","Ords","Buys","AtAsk","AtBid","NetPr","PremsChng","AExpD","OTM%","OTMSc","Unusual%","SpotChng","Ivol%"
"RIOT","23%","3","33.3","38.42K","65.58K","-27.16K","558.7%","274.0","33.3%","-5.5","1.7","0","129.5"
"GLD","37%","15","46.7","418.24K","445.55K","-27.31K","101.6%","35.1","46.7%","-0.3","0.4","0","13.85"
"DVN","54%","27","44.4","1.24M","1.27M","-30.35K","105.9%","137.1","40.7%","1.2","0.8","0","38.77"
"CCL","40%","2","50.0","30.32K","63.02K","-32.70K","102.9%","81.5","50.0%","45.6","0.1","0","59.81"
"SOXL","38%","5","40.0","64.50K","97.43K","-32.93K","167.3%","185.8","40.0%","0.1","0.6","0","91.18"
"VALE","73%","8","50.0","164.98K","203.51K","-38.53K","182.6%","106.9","12.5%","6.7","0.6","0","47.16"
"KR","100%","5","40.0","148.99K","197.46K","-48.47K","100.0%","8.0","40.0%","0.7","5.0","0","23.02"
"AFRM","73%","8","50.0","154.07K","203.93K","-49.85K","100.0%","35.1","50.0%","4.7","0.2","0","113.18"
"UNH","57%","8","50.0","456.59K","508.99K","-52.40K","100.0%","51.8","50.0%","0.1","1.8","0","21.58"
"PBR","43%","3","66.7","101.19K","155.36K","-54.17K","100.0%","57.0","66.7%","5.7","1.3","0","48.23"
"EPD","50%","4","25.0","64.90K","119.50K","-54.60K","1313.4%","142.8","25.0%","2.9","2.5","0","17.08"
"SOFI","40%","2","50.0","44.82K","99.96K","-55.14K","100.0%","151.5","50.0%","-11.2","1.0","0","75.33"
"FXI","29%","7","42.9","198.56K","256.58K","-58.02K","135.7%","39.0","42.9%","-1.5","0.8","0","30.93"
"AIG","33%","2","50.0","56.68K","115.00K","-58.32K","166.1%","214.5","50.0%","4.8","1.0","0","24.58"
"ALGN","40%","2","50.0","88.20K","160.00K","-71.80K","288.3%","36.0","50.0%","12.3","0.4","0","42.02"
"BRK/B","33%","3","33.3","203.70K","275.58K","-71.88K","185.4%","579.7","33.3%","-3.3","0.2","0","21.64"
"FDX","75%","6","33.3","86.76K","165.05K","-78.29K","100.0%","29.0","33.3%","1","1.1","0","33.06"
"NKE","32%","9","55.6","534.48K","614.73K","-80.25K","242.7%","146.4","55.6%","-1.2","0.5","0","31.41"
"TOST","53%","9","44.4","140.99K","221.52K","-80.53K","157.5%","57.0","22.2%","-11.8","0.5","0","84.44"
"FSLR","54%","7","57.1","206.33K","289.72K","-83.39K","100.0%","47.0","57.1%","16","0.5","0","51.41"
"COF","71%","5","40.0","85.88K","171.89K","-86.01K","136.2%","54.2","40.0%","-1.4","0.5","0","31.55"
"SLV","33%","15","53.3","359.74K","448.11K","-88.36K","100.0%","122.8","53.3%","11.7","1.1","0","29.4"
"LLY","78%","18","61.1","571.18K","668.61K","-97.43K","818.3%","162.4","61.1%","15.3","6.1","0","30.11"
"DAL","50%","4","50.0","64.49K","170.17K","-105.68K","152.1%","23.8","50.0%","1.8","0.5","0","32.96"
"MPW","53%","8","62.5","148.80K","256.00K","-107.21K","100.0%","29.0","62.5%","6.8","0.4","0","71.52"
"UAL","43%","3","66.7","60.73K","170.00K","-109.27K","114.9%","19.7","66.7%","-6.1","0.2","0","37.68"
"AAP","60%","3","33.3","28.00K","139.55K","-111.55K","137.7%","8.0","33.3%","-3.5","5.0","0","49.45"
"MRK","36%","4","25.0","46.74K","164.78K","-118.03K","100.0%","107.8","25.0%","-3.1","0.6","0","24.05"
"SHW","100%","5","20.0","60.75K","183.88K","-123.13K","800.1%","43.0","20.0%","4.1","1.3","0","30.59"
"SNAP","35%","17","41.2","238.90K","367.25K","-128.34K","120.7%","92.8","41.2%","-9.7","0.9","0","75.09"
"JD","53%","19","47.4","337.19K","482.28K","-145.09K","160.7%","97.9","47.4%","5.7","0.8","0","50.22"
"PLTR","16%","6","33.3","104.75K","255.33K","-150.58K","100.0%","151.5","33.3%","28","0.4","0","69.1"
"SBUX","47%","7","28.6","118.25K","270.76K","-152.51K","214.0%","81.0","28.6%","-0.8","0.4","0","24.19"
"PLUG","27%","3","33.3","151.49K","305.55K","-154.06K","251.1%","255.3","33.3%","-6.1","0.3","0","75.63"
"IP","100%","5","20.0","51.83K","206.70K","-154.87K","2202.8%","43.0","20.0%","-4","5.0","0","18.97"
"WPM","31%","5","20.0","30.75K","190.62K","-159.88K","100.0%","1.0","20.0%","-1.4","1.7","0","29.42"
"MSTR","31%","4","50.0","104.00K","269.50K","-165.50K","247.7%","9.8","50.0%","16","0.2","0","95.9"
"GOLD","50%","3","33.3","71.53K","242.06K","-170.53K","100.0%","222.7","33.3%","11.4","0.4","0","37.79"
"MA","26%","5","20.0","138.00K","325.98K","-187.97K","100.0%","36.0","20.0%","-0.5","0.6","0","21.01"
"ZS","40%","4","50.0","417.50K","618.50K","-201.00K","100.0%","99.0","50.0%","-0.2","0.4","0","63.63"
"MARA","24%","13","38.5","173.61K","400.30K","-226.69K","100.0%","100.1","38.5%","-2.8","0.9","0","157.59"
"CVX","58%","15","60.0","913.18K","1.18M","-262.12K","100.0%","130.7","60.0%","1","0.8","0","26.58"
"SNOW","47%","15","40.0","760.78K","1.02M","-262.38K","100.0%","57.9","40.0%","2.6","0.3","0","72.1"
"SMH","20%","3","33.3","99.60K","371.02K","-271.42K","277.6%","50.0","33.3%","5.7","0.1","0","31.61"
"DLTR","88%","7","14.3","96.61K","372.32K","-275.71K","310.1%","121.0","14.3%","-1.2","1.0","0","43.42"
"AI","17%","6","33.3","61.50K","337.67K","-276.17K","100.0%","120.0","33.3%","13.9","0.2","0","128.73"
"XLF","63%","12","25.0","145.40K","453.12K","-307.72K","255.5%","134.6","25.0%","2.5","0.4","0","18.8"
"DOCU","23%","8","62.5","266.68K","583.41K","-316.74K","100.0%","135.8","62.5%","19.7","1.9","0","68.08"
"TSM","47%","29","34.5","1.36M","1.71M","-342.73K","156.8%","141.7","34.5%","3","0.5","0","33.18"
"PBF","37%","7","28.6","119.46K","487.88K","-368.42K","100.0%","288.0","28.6%","29.1","2.5","0","56.04"
"LRCX","67%","4","50.0","145.90K","516.45K","-370.55K","100.0%","53.5","50.0%","-2.5","0.4","0","49.19"
"AMZN","33%","139","55.4","6.71M","7.08M","-378.01K","105.9%","75.8","54.0%","3.8","0.7","0","38.79"
"TXN","47%","7","14.3","51.85K","455.30K","-403.45K","100.0%","77.0","14.3%","-1.3","0.3","0","27.34"
"AMGN","60%","6","33.3","96.24K","499.77K","-403.54K","151.3%","128.2","33.3%","5.1","0.9","0","21.32"
"GDX","27%","14","50.0","563.36K","1.01M","-450.46K","2425.6%","163.0","50.0%","8","0.7","0","33.42"
"FEZ","100%","9","44.4","192.55K","647.33K","-454.77K","3512.8%","31.3","44.4%","2","5.0","0","23.01"
"SQQQ","7%","10","30.0","218.62K","684.83K","-466.21K","100.0%","33.9","30.0%","-3.6","0.7","0","78.23"
"QCOM","44%","12","58.3","389.35K","896.15K","-506.81K","12044.6%","168.4","58.3%","4.9","0.8","0","35.36"
"AMAT","54%","26","34.6","845.83K","1.39M","-539.77K","199.3%","56.5","34.6%","7","0.6","0","49.42"
