"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"IWR","","23.27M","42.85%","16.13M","3.31M","12.83M","4","19"
"PTEN","","23.14M","-21.54%","1.15M","11.07M","-9.93M","2","20"
"IT","","22.81M","-23.57%","0","15.84M","-15.84M","0","4"
"NTR","","22.61M","289.47%","3.74M","3.76M","-14.76K","4","10"
"CE","","22.52M","-36.88%","15.72M","0","15.72M","0","16"
"SOXS","","22.45M","-31.03%","10.4M","5.97M","4.43M","2","53"
"NOW","","22.24M","-19.85%","0","20.52M","-20.52M","0","4"
"PNC","","22.13M","126.04%","18.62M","0","18.62M","1","5"
"WMB","","22.1M","146.0%","1.56M","20.54M","-18.98M","0","4"
"MNST","","22.01M","64.21%","4.5M","15.04M","-10.54M","5","15"
"JEPI","","21.98M","-33.53%","11.7M","2.27M","9.42M","2","37"
"FBND","","21.92M","180.81%","20.81M","391.47K","20.42M","0","8"
"DXCM","","21.88M","-71.84%","10.4M","2.04M","8.36M","2","14"
"BILL","","21.88M","156.71%","9.42M","11.27M","-1.85M","3","14"
"GVI","","21.86M","33.76%","20.37M","0","20.37M","0","4"
"XBI","","21.82M","-33.22%","12.41M","5.39M","7.02M","3","21"
"EFV","","21.81M","95.14%","4.85M","15.6M","-10.75M","1","17"
"SPTL","","21.8M","-33.97%","4.55M","13.25M","-8.7M","2","30"
"VGK","","21.71M","4.03%","3.84M","15.72M","-11.88M","2","9"
"TLH","","21.63M","59.17%","10.33M","8.37M","1.96M","2","13"
"BMY","","21.59M","-64.9%","3.23M","12.29M","-9.05M","2","8"
"IBM","","21.56M","3.0%","9.5M","0","9.5M","1","2"
"PXD","","21.54M","-83.78%","11.77M","9.77M","2.0M","3","19"
"MCD","","21.51M","-15.56%","16.97M","4.54M","12.43M","3","2"
"SBAC","","21.28M","-10.56%","2.8M","15.22M","-12.42M","1","13"
"MAS","","21.15M","-1.05%","0","16.43M","-16.43M","1","4"
"FBIN","","21.12M","-35.76%","1.69M","8.47M","-6.78M","0","10"
"PEP","","21.08M","-61.7%","13.81M","4.62M","9.19M","0","6"
"DOCU","","21.05M","66.01%","16.42M","4.03M","12.39M","10","10"
"FLEX","","21.04M","890.11%","9.46M","5.93M","3.53M","2","10"
"NEE","","21.0M","-68.5%","9.05M","6.68M","2.37M","3","5"
"CPRI","","20.83M","11.32%","1.12M","7.85M","-6.73M","1","15"
"ICE","","20.83M","-75.1%","3.18M","13.19M","-10.01M","5","7"
"HRL","","20.83M","-34.57%","604.96K","20.22M","-19.62M","0","8"
"EQT","","20.81M","-62.81%","14.91M","4.2M","10.7M","4","7"
"NI","","20.81M","-18.36%","629.52K","12.3M","-11.67M","0","14"
"EFG","","20.76M","571.14%","8.75M","2.27M","6.47M","3","7"
"GMED","","20.68M","-79.16%","7.99M","2.13M","5.86M","1","5"
"APA","","20.5M","170.7%","5.63M","11.81M","-6.18M","4","13"
"BSX","","20.43M","-69.69%","18.38M","0","18.38M","3","6"
"TDY","","20.28M","-42.66%","16.04M","0","16.04M","0","4"
"IGSB","","20.24M","-74.5%","13.49M","2.81M","10.68M","1","21"
"VBR","","20.1M","106.26%","4.92M","12.74M","-7.81M","2","23"
"PXH","","20.09M","3118.35%","0","20.09M","-20.09M","0","3"
"TNA","","20.07M","52.54%","4.17M","8.35M","-4.19M","10","40"
"WHR","","20.07M","16.23%","2.59M","15.26M","-12.67M","0","7"
"SPLG","","19.96M","5.07%","7.07M","5.52M","1.55M","1","19"
"IRM","","19.95M","-3.09%","18.62M","826.87K","17.79M","1","6"
"ABCM","","19.76M","-86.08%","2.8M","8.25M","-5.45M","1","21"
"SCHR","","19.69M","102.4%","14.33M","0","14.33M","1","22"
"SPLK","","19.63M","21.92%","11.44M","6.28M","5.16M","3","8"
"PINS","","19.62M","1.13%","3.03M","13.11M","-10.08M","6","11"
"INTC","","19.6M","-69.17%","13.32M","6.29M","7.03M","3","2"
"ATO","","19.39M","10.78%","0","19.12M","-19.12M","4","3"
"SCHW","","19.32M","-73.01%","15.97M","0","15.97M","3","3"
"CSX","","19.27M","36.75%","5.94M","2.6M","3.34M","9","4"
"IP","","19.07M","-26.38%","0","19.07M","-19.07M","0","4"
"HSY","","18.93M","-14.78%","5.5M","12.33M","-6.83M","4","9"
"SPDW","","18.9M","-49.67%","7.75M","1.34M","6.4M","1","19"
